,content
160,Habis 80 jt terbitlah 30 jt wkwkwk.
161,Cedera aja lah semuaa 😒😒 https://t.co/depD5ab8LS
162,"Danramil 04/Nglipar Kapten Inf Marsimin hadiri Pameran dan penilaian hasil karya KKN di lapangan desa nglipar,turut hadir:Muspika kec nglipar,Dosen universitas atmajaya,Pendamping mahasiswa,Mahasiswa Atmajaya 200 orang. https://t.co/TryUSqgeQr"
163,Alumni AtmaJaya: Jokowi Punya Kualitas dalam Bekerja https://t.co/qOHJlleuXG
164,Alumni AtmaJaya: Jokowi Punya Kualitas dalam Bekerja https://t.co/CRdmKI7Il0
165,Alumni AtmaJaya: Jokowi Punya Kualitas dalam Bekerja https://t.co/3ng5RGf6bv
166,Alumni AtmaJaya: Jokowi Punya Kualitas dalam Bekerja https://t.co/r2LLKWUkye
167,Alumni AtmaJaya: Jokowi Punya Kualitas dalam Bekerja https://t.co/VdYgjyufiG
168,"Guys, tau ga alumni kampus mn sj yg hadir acara deklarasi dukung Pakde? Hampir seluruh alumni perguruan tinggi di seluruh Indonesia mulai dari UGM, ITS, ITB, IPB, UNS, Unair, Undip, Universitas Padjajaran, Parahiyangan, Universitas Trisakti, Atmajaya dll
#OrangPintarPilihJokowi"
169,Alumni AtmaJaya: Jokowi Punya Kualitas dalam Bekerja https://t.co/drgbf0vmSN
170,"@Zulvis69 Peserta deklarasi alumni UI for Jokowi MA adalah Alumni UI, ITB, UGM, ITS, IPB, UNS, UNAI, UNDIP, PADJAJARAN, PARAHIYANGAN, TRISAKTI, ATMAJAYA, Perguruan Tinggi Negeri dan Swasta lainnya. Selain itu berbagai komunitas masyarakat juga hadir termasuk PROJO
#OrangPintarPilihJokowi"
171,"@IbrahimGarcia19 @baneraja @fasyam7 @syarihada @MichelaniaAdam Memang sih....pendukung Jokowi pendidikan terendahnya Universitas beneran macam UI, ITB, ITS, Atmajaya, Trisakti...dll

Kalo pendukung koh @prabowo pendidikan tertingginya Monas Unipersiti....

Miahahahahahahhahahahaha"
172,Dari jamannya Shinichi masuh make hp flip jadul akhirnya jadian juga setelah ganti ke touchscreen 😂😂😂
173,Alumni AtmaJaya: Jokowi Punya Kualitas dalam Bekerja https://t.co/92VVDkSjK7
174,"@rivanlee Yoi, ke thamrin van. Cuma ujungnya sampe mana kurang tau. Kalo pulang naik dr depan atmajaya."
175,"3. Peserta deklarasi alumni UI for Jokowi MA adalah Alumni UI, ITB, UGM, ITS, IPB, UNS, UNAI, UNDIP, PADJAJARAN, PARAHIYANGAN, TRISAKTI, ATMAJAYA, Perguruan Tinggi Negeri dan Swasta lainnya. #AlumniPTMenangkanJokowi"
176,"Hebatnya lg hmpr seluruh alumni PT ternama di seluruh Indonesia mulai dr UGM, ITS, ITB, IPB, UNS, UNAIR, UNDIP, UNPAD, Parahiyangan, Trisakti, Atmajaya &amp; berbagai PT lainnya bergabung dlm deklarasi dukung jokowi.

#OrangPintarPilihJokowi"
177,"Juga para alumni kampus swasta dan negeri di Jakarta seperti dari Trisakti, Atmajaya, Jayabaya, UKI. #VisiMisiJokowiMenang"
178,"Hampir semua alumni perguruan tinggi ternama di Indonesia mulai dari UGM, ITS, ITB, IPB, UNS, UNAIR, UNDIP, UNPAD, Parahiyangan, Trisakti, Atmajaya dan lain nya bergabung dalam deklarasi dukung jokowi. orang cerdas pasti tahu mana pemimpin yg berkualitas. #OrangPintarPilihJokowi"
