,content
122,"Bakal ada tamu nih dari tetangga, kampus UAJY bakal berkunjung membawa event COMMINFEST!
Besok ini jam 16.30 di Lab. PR, semua bisa ikut, yuk gaskeunn!!! https://t.co/8mQlPnkR8O"
123,anak uajy klo fotocopy dmn sih? susah banget nyari fcan daerah babarsari
124,"Info from @timothy__ivan  -  Ongkos politik mahal jadi penyebab korupsi ?

Yuk ketemuan dan diskusi bareng!
#PEKALONGANPROAKTIF #PojokDiskusi #KOMUTASIFHUAJY #UAJY https://t.co/NkMhWlWnaf"
125,"Info from aurahmadhani  -  Haloo sobat sedulur sebahu!! 🦋✨ Salam budaya! 
Kini kami, Teater Lilin kembali untuk menghibur kalian semua dalam : .
.
LAPEN 6% ! 🍻 
Kali ini, penampilan… https://t.co/tQzFGBxUw3"
126,"Info from aurahmadhani  -  Salam budaya!
Bagaimana kabar kebudayaan kita hari ini?
Smirnop (Studi Mini Rumor dan Olah Pikir) kali ini, Mbak lilin mau ajak kalian buat mengenal atau… https://t.co/0hYu1zrCmR"
127,"Info from @uk_uajy  -  Halo teman teman yang dikasihi Tuhan, tidak terasa bulan akan segera berganti. Tak lupa kita harus mengucap syukur dan memohon dampingan Tuhan dalam setiap usaha… https://t.co/AkOMAkcJp6"
128,Halo mahasiswa/i Universitas Atma Jaya Yogyakarta! 👋🏻👋🏻 Kalian suka foto-foto? Memiliki minat bakat dalam fotografi? 📷 Ingin mengembangkan hobi kalian serta berkesempatan mendapatkan uang… https://t.co/rD4qzGr32B
129,@slppyeys Pengen ngerasa. Makanya masuk UAJY 😂
130,@anggie176 @Kuliah_FE_UAJY Akhirnya...
131,"Dukung Program Go Green, UAJY dan Dishub DIY Gelar Uji Emisi Gas Buang https://t.co/0vy3zoR2mi https://t.co/ApQFPh8Uxr"
132,Ratusan Mahasiswa UAJY Antusias Urus Surat Pindah Pemilih https://t.co/nhvk5wXhmU https://t.co/tNmF8gBfe6
133,"Persembahan dari Himpunan Mahasiswa Teknik Sipil UAJY :
Closing Ceremony Civil Engineering Days 2019 CHIMPORIA #4 ""Ekspedisi Cahaya""
.
Sabtu, 27 April 2019
Lap. Parkir GOR Amongrogo Yk
.
Menampilkan @souljahmusik
@TheRainBand @tashoora_ @grrrlgangband @kazzmir_ https://t.co/wu3DNiXqWK"
134,Prodi Sistem Informasi Atma Jogja mengadakan Kuliah Umum bersama PT Aino Indonesia dengan tema “Manager Sharing Session” #UAJY #UAJYUnggul #UAJYBerintegritas #UAJYHumanis #UAJYInklusif #FTIUAJY #SistemInformasiUAJY #AtmaJogja https://t.co/PXIjUSymAE
135,Wisuda UAJY: Dualisme Politik Ancam Masa Depan Bangsa https://t.co/powp7DpJOh https://t.co/9H2nS7OMnN
136,Friend's day # MM UAJY 17#Memo#Yogyakarta# Indonesia#Sahabat#Love u all# @ Satoria Hotel Yogyakarta https://t.co/qtxnIzQFGY
137,@deazevihadeta @uajy Kalo udah di terima bisa cek di Website https://t.co/etkBB8fbwL kak. Semoga membantu
138,"@uajy min, mau tanya. cara pembayaran angsuran biaya kuliah mahasiswa baru bisa diliat dimana ya?"
139,Hari ini senengnya tumpeh-tumpeh ♡ walaupun gabisa nginep di uajy squad karna mesti kelarin skripsi n ke gereja. Tp ku tetep seneng!
140,"@uajy membuat start up ke mahasiswa kalo minum pake tumbler dan kita dibagiin chip+tumbler, alasannya demi menjaga alam dan meminimalisir penggunaan plastik.
Eh pas kuliah ada oknum dosen minum pake minuman gelas berkemasan plastik. 
Yayayaya, menjaga alam emang tugas mahasiswa."
